"","pctyes","year","leaid","stabbr","votesharereqd","margin","passbond","holdbond","cap_exp","l1cap_exp","l2cap_exp","f1cap_exp","f2cap_exp","f3cap_exp","f4cap_exp","f5cap_exp","f6cap_exp","noncap_exp","l1noncap_exp","l2noncap_exp","f1noncap_exp","f2noncap_exp","f3noncap_exp","f4noncap_exp","f5noncap_exp","f6noncap_exp","l1passbond","l2passbond","f1passbond","f2passbond","f3passbond","f4passbond","f5passbond","f6passbond","l1holdbond","l2holdbond","f1holdbond","f2holdbond","f3holdbond","f4holdbond","f5holdbond","f6holdbond"
"15",0.495690201546457,2002,600016,"CA",0.550000011920929,-0.054309811,0,1,1307.3312,1129.1736,515.48499,1978.1876,2410.1372,1659.3262,916.00354,694.15039,675.74774,9631.1514,8457.5303,7809.8862,8719.2285,7755.0942,7653.8916,7951.8052,8633.1777,8333.4775,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"16",0.602689986703488,2008,600016,"CA",0.550000011920929,0.052689973,1,1,675.74774,694.15039,916.00354,1051.0137,1464.7184,1216.3245,858.26086,383.74271,266.67334,8333.4775,8633.1777,7951.8052,8274.5293,7806.7407,7669.3916,9116.9492,9024.1182,8417.8281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0.556952081696779,1997,600017,"CA",0.666666984558105,-0.1097149,0,1,415.4155,383.0556,808.74445,1487.687,2710.4526,1153.8781,859.91321,567.73383,310.76544,7591.1655,7206.5283,7482.8276,6867.1528,7153.4185,8620.918,9416.332,9473.4365,8879.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0.585874692711448,2004,600017,"CA",0.550000011920929,0.03587468,1,1,234.99185,310.76544,567.73383,2070.2156,2872.9121,1291.7091,763.27197,224.99802,61.185917,8593.9609,8879.5625,9473.4365,8774.9951,8621.4854,8827.2949,8813.4063,8822.4941,8624.8643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0.651925820256776,2017,600018,"CA",0.550000011920929,0.10192581,1,1,2405.5452,641.77032,1357.6552,NA,NA,NA,NA,NA,NA,19892.006,20435.523,18613.016,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"21",0.620206489675516,2012,600019,"CA",0.550000011920929,0.070206478,1,1,2212.8503,5640.9536,10785.011,3916.0522,5892.5503,4159.4092,1220.7483,1881.8519,NA,10597.775,10862.996,15985.534,10575.693,10675.883,11990.441,11771.8,11756.624,NA,0,0,0,0,0,1,0,NA,0,0,0,0,0,1,0,NA
"22",0.601917304154159,2016,600019,"CA",0.550000011920929,0.051917292,1,1,1220.7483,4159.4092,5892.5503,1881.8519,NA,NA,NA,NA,NA,11771.8,11990.441,10675.883,11756.624,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"23",0.769190103615986,1997,600020,"CA",0.666666984558105,0.10252312,1,1,1949.2521,4527.4136,2661.7119,1745.0961,3167.3569,4539.5083,3391.8279,2725.7974,2151.9053,9800.7227,9399.8223,9888.3164,9353.2832,9511.875,10661.67,11523.36,12897.336,13396.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0.691035885515037,2016,600020,"CA",0.550000011920929,0.14103587,1,1,12.034463,35.185333,35.332298,23.928482,NA,NA,NA,NA,NA,12641.188,11539.545,11127.847,12692.065,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"28",0.631696344751448,1995,600023,"CA",0.666666984558105,-0.034970641,0,1,567.591,NA,NA,919.30524,899.16718,590.30682,689.72955,856.95221,3058.5171,10724.481,NA,NA,11469.917,10137.059,10867.373,10741.389,11390.389,11404.969,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
